sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	LocationinhostName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Umagilla forkalensis	RO:0002444	parasite of		Holothuria forskali	Digestive tract	GEONAMES:363196	Mediterranean Sea (Naples)	35	20		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Umagilla forkalensis	RO:0002444	parasite of		Holothuria forskali	Digestive tract	GEONAMES:2960848	North Sea (Norwegian coast)	55.3333	3		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Urospora chirodotae	RO:0002444	parasite of		Chirodata laevis	Gut-associated hemal system	GEONAMES:630674	Barents Sea (Murmansk)	74	36		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora chirodotae	RO:0002444	parasite of		Chirodata laevis	Gut-associated hemal system	GEONAMES:3411923	N.W. Atlantic (St. Andrews, New Brunswick)	40	-40		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora echinocardii	RO:0002444	parasite of		Echinocardium cordatum	Coelomic cavity	GEONAMES:2649991	English Channel (Plymouth)	50	-1		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora echinocardii	RO:0002444	parasite of		Spatangus purpuratus	Coelomic cavity	GEONAMES:2649991	English Channel (Plymouth)	50	-1		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora intestinalis	RO:0002444	parasite of		Cucumaria japonica	Gut-associated hemal system	GEONAMES:2017987	N.W. Pacific (Peter the Great Bay)	42.77386	132.60415		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora neapolitana	RO:0002444	parasite of		Echinocardium cordatum	Coelomic cavity	GEONAMES:363196	Mediterranean Sea (Naples)	34	20		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora neapolitana	RO:0002444	parasite of		Echinocardium cordatum	Coelomic cavity	GEONAMES:2017987	N.W. Pacific (Peter the Great Bay)	42.77386	132.60415		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora pulmonalis	RO:0002444	parasite of		Cucumaria japonica	Respiratory trees	GEONAMES:2017987	N.W. Pacific (Peter the Great Bay)	42.77386	132.60415		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora synaptae	RO:0002444	parasite of		Leptosynapta galliennei	Gut-associated hemal system; coelomic cavity	GEONAMES:3037252	N.E. Atlantic (Arcachon)	44.7	-1.15		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora synaptae	RO:0002444	parasite of		Leptosynapta inhaerens	Gut-associated hemal system; coelomic cavity	GEONAMES:3037252	N.E. Atlantic (Arcachon)	44.7	-1.15		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora synaptae	RO:0002444	parasite of		Leptosynapta galliennei	Gut-associated hemal system; coelomic cavity	GEONAMES:3411923	N.E. Atlantic (Morgat)	40	-40		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora synaptae	RO:0002444	parasite of		Leptosynapta inhaerens	Gut-associated hemal system; coelomic cavity	GEONAMES:3411923	N.E. Atlantic (Morgat)	40	-40		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora synaptae	RO:0002444	parasite of		Leptosynapta galliennei	Gut-associated hemal system; coelomic cavity	GEONAMES:3411923	N.E. Atlantic (Roscoff)	40	-40		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Urospora synaptae	RO:0002444	parasite of		Leptosynapta inhaerens	Gut-associated hemal system; coelomic cavity	GEONAMES:3411923	N.E. Atlantic (Roscoff)	40	-40		doi:10.3354/dao002147	Jangoux, M. 1986 Diseases of Echinodermata. I. Agents microorganisms and protistans Diseases of Aquatic Organisms (Impact Factor: 1.59) 2:147-162. doi:10.3354/dao002147
	Vitreobalcis temnopleuricola	RO:0002444	parasite of		Temnopleurus toreumaticus	Attached to body surface	GEONAMES:1852650	Inland Sea (Japan)	34.33333	133.5		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Wahlia macrostylifera	RO:0002444	parasite of		Isostichopus tremulus	Digestive tract	GEONAMES:2960848	North Sea (Norwegian coast)	55.3333	3		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Wahlia macrostylifera	RO:0002444	parasite of		Parastichopus badionotus	Digestive tract	GEONAMES:3411923	Tropical W Atlantic (Bermuda)	40	-40		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
